product_code,customer_code,budget_quantity,budget_sales_value,budget_date
1002,228,185,409.92,02-JUN-2010
1008,228,80,978.58,02-JUN-2010
1003,227,62,572.42,30-APR-2011
1007,227,98,766.17,30-APR-2011
1004,226,40,218.00,05-NOV-2011
1006,226,40,618.00,05-NOV-2011
1009,225,74,940.24,04-APR-2012
1002,225,74,163.97,04-APR-2012
1006,225,40,618.00,04-APR-2012
1007,225,98,766.17,04-APR-2012
1004,225,74,402.54,04-APR-2012
1003,224,15,134.85,15-NOV-2011
1008,224,15,177.34,15-NOV-2011
1001,224,15,159.50,15-NOV-2011
1001,223,74,812.46,13-AUG-2010
1009,223,29,369.17,13-AUG-2010
1007,223,80,622.52,13-AUG-2010
1003,223,29,269.70,13-AUG-2010
