product_code,customer_code,forecast_quantity,forecast_sales_value,forecast_date
1002,228,161,358.06,02-JUN-2010
1008,228,70,854.78,02-JUN-2010
1003,227,54,500.00,30-APR-2011
1007,227,86,669.25,30-APR-2011
1004,226,40,218.00,05-NOV-2011
1006,226,40,618.00,05-NOV-2011
1009,225,65,821.29,04-APR-2012
1002,225,65,143.23,04-APR-2012
1006,225,40,618.00,04-APR-2012
1007,225,86,669.25,04-APR-2012
1004,225,65,351.61,04-APR-2012
1003,224,11,105.46,15-NOV-2011
1008,224,11,138.69,15-NOV-2011
1001,224,11,124.74,15-NOV-2011
1001,223,65,709.68,13-AUG-2010
1009,223,23,288.72,13-AUG-2010
1007,223,70,543.76,13-AUG-2010
1003,223,23,210.92,13-AUG-2010
